汉族	0.9159
壮族	0.0127
回族	0.007943
满族	0.007794
维吾尔族	0.007555
苗族	0.007072
彝族	0.006538
土家族	0.006268
藏族	0.004713
蒙古族	0.004488
侗族	0.002161
布依族	0.002153
瑶族	0.002098
白族	0.001451
朝鲜族	0.001374
哈尼族	0.001246
黎族	0.001098
哈萨克族	0.001097
傣族	0.000946
畲族	0.000532
傈僳族	0.000527
东乡族	0.000466
仡佬族	0.000413
拉祜族	0.000365
佤族	0.000322
水族	0.000309
纳西族	0.000245
羌族	0.000232
土族	0.000217
仫佬族	0.000162
锡伯族	0.000143
柯尔克孜族	0.00014
景颇族	0.000111
达斡尔族	0.000099
撒拉族	0.000098
布朗族	0.00009
毛南族	0.000076
塔吉克族	0.000038
普米族	0.000032
阿昌族	0.00003
怒族	0.000028
鄂温克族	0.000023
京族	0.000021
基诺族	0.000017
德昂族	0.000015
保安族	0.000015
俄罗斯族	0.000012
裕固族	0.000011
乌孜别克族	0.000008
门巴族	0.000008
鄂伦春族	0.000006
独龙族	0.000005
赫哲族	0.000004
高山族	0.000003
珞巴族	0.000003
塔塔尔族	0.000003
